smiles,CYP1A2_IC50_PIC50,source,CYP1A2_Ki_PIC50,CYP2C9_IC50_PIC50,CYP2C9_Ki_PIC50,CYP2C19_IC50_PIC50,CYP2C19_Ki_PIC50,CYP2D6_IC50_PIC50,CYP2D6_Ki_PIC50,CYP3A4_IC50_PIC50,CYP3A4_Ki_PIC50,CYP2B6_IC50_PIC50,CYP2B6_Ki_PIC50
C=C[C@@H]1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)CCC(=O)C=C12,6.5,chembl_CYP1A2_IC50,,,,,,,,,,,
C=C[C@@]1(C)CC(=O)C2=C(CC[C@H]3C(C)(C)CCC[C@]23C)C1,5.1,chembl_CYP1A2_IC50,,,,,,,,,,,
C=C[C@]1(C)C=C2CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1,4.98,chembl_CYP1A2_IC50,,,,,,,,,,,
C=C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,7.0,chembl_CYP1A2_IC50,,,,,,,,,,,
CC#CCO[C@@H]1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,6.95,chembl_CYP1A2_IC50,,,,,,,,,,,
CC#CCOc1ccc2cc(C(O)(c3ccc(Br)cc3)c3cccnc3)oc2c1,9.08,chembl_CYP1A2_IC50,,,,,,,,,,,
CC#CCOc1ccc2cc(C(O)(c3ccc(Cl)cc3)c3cccnc3)oc2c1,8.98,chembl_CYP1A2_IC50,,,,,,,,,,,
CC#CCOc1ccc2cc(C(O)(c3ccc(F)cc3)c3cccnc3)oc2c1,8.0,chembl_CYP1A2_IC50,,,,,,,,,,,
CC#CCOc1ccc2cc(C(c3ccc(C#N)cc3)n3cncn3)oc2c1,10.05,chembl_CYP1A2_IC50,,,,,,,,,,,
CC#CCOc1ccc2cc(C(c3ccc(Cl)cc3)n3cncn3)oc2c1,9.28,chembl_CYP1A2_IC50,,,,,,,,,,,
CC#CCOc1ccc2cc(C(c3ccc(F)cc3)n3cncn3)oc2c1,8.39,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=C(c1ccc(N)cc1)c1ccc(N)cc1)c1ccc(N)cc1,6.75,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=C(c1ccc(N)cc1)c1ccc(N)cc1)c1ccc([N+](=O)[O-])cc1,6.66,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=C(c1ccc(N)cc1)c1ccc(NCC(N)=O)cc1)c1ccc([N+](=O)[O-])cc1,6.19,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1c[nH]cn1,6.22,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccc(N)cc1,6.64,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=C(c1ccc(O)cc1)c1ccc(OCC(N)=O)cc1)c1ccc([N+](=O)[O-])cc1,5.01,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=C(c1ccccc1)c1ccc(NCCCCCn2cc(C(=O)C(=O)O)c3ccccc32)cc1)c1ccccc1,5.5,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=C(c1ccccc1)c1ccc(NCCCCn2cc(C(=O)C(=O)O)c3ccccc32)cc1)c1ccccc1,5.86,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=C(c1ccccc1)c1ccc(NCCCn2cc(C(=O)C(=O)O)c3ccccc32)cc1)c1ccccc1,6.75,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=C(c1ccccc1)c1ccc(NCCn2cc(C(=O)C(=O)O)c3ccccc32)cc1)c1ccccc1,5.01,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=C(c1ccccc1)c1ccccc1)c1ccc(NC(=O)C(=O)O)cc1,5.51,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)N1CCN(c2ccc(/C=C/c3cc(F)cc(-c4ccncc4)c3)cc2)CC1,5.0,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)N1CCN(c2ccc(CO[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)OC3)cc2)CC1,6.46,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,5.71,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.42,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,5.4,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)N1N=C2[C@H](C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4CC[C@]23C)[C@H]1c1ccccc1,5.54,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)N1N=C2[C@H](C[C@H]3[C@@H]4CC[C@H]5CC(=O)CC[C@]5(C)[C@H]4CC[C@]23C)[C@H]1c1ccccc1,5.31,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)N1N=C2[C@H](C[C@H]3[C@@H]4CC[C@H]5C[C@@H](OC(=O)C(F)(F)F)CC[C@]5(C)[C@H]4CC[C@]23C)[C@H]1c1ccccc1,5.18,chembl_CYP1A2_IC50,,,,,,,,,,,
CC(=O)N1[C@H]2[C@@H]3[C@H](CC[C@]4(C)C(=O)CC[C@@H]34)[C@@]3(C)CCC(=O)C=C3[C@H]21,4.19,chembl_CYP1A2_IC50,,,,,,,,,,,
